article_id,apa_reference,doi,journal,year,scopus_q1_verified,quartile_verification_source,pdf_downloaded,exact_phrase,page_or_section,theme_code,why_it_matters_for_chapter,target_chapter_section
CLUSTER_A_CAMINO_ROUTES_019,"Gong, L., Greenop, K., Keys, C., & Landorf, C. (2025). Digital reconstruction and representation of the Sino-Korean Tribute Routes using Geographic Information Systems. Heritage Science. DOI: 10.1038/s40494-025-01689-9",10.1038/s40494-025-01689-9,Npj Heritage Science,2025,Yes,"SCImago profile shows Heritage Science as Q1 in Archeology and Conservation for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2025 quartile.",Yes,"Digital technologies offer a new approach, enabling the reconstruction and visualisation of damaged or intangible segments.",Abstract,METH,Supports the argument that subdocumented routes such as the Camino de Lengerke may require digital reconstruction and improved documentary interfaces.,Results and Discussion; Table 3
CLUSTER_A_CAMINO_ROUTES_020,"Xie, Z., Fang, J., Wang, L., Wang, G., & Wang, S. (2025). Construction of architectural heritage corridors in the Hubei section of the Tea Road. Heritage Science. DOI: 10.1038/s40494-025-01770-3",10.1038/s40494-025-01770-3,Npj Heritage Science,2025,Yes,"SCImago profile shows Heritage Science as Q1 in Archeology and Conservation for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2025 quartile.",Yes,"This paper introduces heritage corridors for architectural conservation, establishing a resource evaluation and grading system using the Analytic Hierarchy Process.",Abstract,METH,Supports corridor-based and network-based approaches to heritage-route conservation and planning in the Camino de Lengerke discussion.,Results and Discussion; Table 3
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_022,Spatial potential evaluation of ecotourism resources and functional zoning in the Qinghai lake basin. (2026). Scientific Reports. DOI: 10.1038/s41598-025-34289-5,10.1038/s41598-025-34289-5,Scientific Reports,2026,,,Yes,,,,,
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_023,"Fan, J., Huang, Z., & Zhang, B. (2026). Designing a traditional village cluster protection-utilization system via complex network analysis: Qiandongnan case study. Heritage Science. DOI: 10.1038/s40494-026-02311-2",10.1038/s40494-026-02311-2,Npj Heritage Science,2026,Yes,"SCImago profile shows Heritage Science as Q1 in Archeology and Conservation for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"The proposed framework integrates spatial optimization algorithms with adaptive reuse protocols, achieving 23% greater resource efficiency than conventional approaches while balancing preservation and sustainable tourism.",Abstract,GOV,Supports the claim that coordinated heritage systems outperform isolated interventions and informs the Lengerke sustainability-gap discussion.,Results and Discussion; Table 3
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_024,"Duyen, T. N. L., Han, T. T., Anh, H. H., Hieu, N. V., Chi, N. C., Tien, N. D., & Trinh, N. T. T. (2026). Place oriented human settlement value assessment in the world heritage Trang An landscape complex. Discover Sustainability. DOI: 10.1007/s43621-026-02714-y",10.1007/s43621-026-02714-y,Discover Sustainability,2026,Yes,"SCImago profile shows Discover Sustainability as Q1 in Geography, Planning and Development for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"Findings indicate that properties in proximity to cultural and natural landmarks exhibit higher values, emphasizing the economic importance of heritage preservation in supporting local economies.",Abstract,VALUE,Supports the place-based development argument by linking heritage designation with local economic value and the potential territorial effects of the Camino de Lengerke.,Results and Discussion; Table 3; Table 4
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_026,Evaluating key indicators for sustained environmental campaigns through a community based tourism social policy model. (2026). Discover Sustainability. DOI: 10.1007/s43621-025-02432-x,10.1007/s43621-025-02432-x,Discover Sustainability,2026,,,Yes,,,,,
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_027,High-resolution regional climate projections and tourism impacts in the Macaronesian archipelagos. (2026). Scientific Reports. DOI: 10.1038/s41598-026-43092-9,10.1038/s41598-026-43092-9,Scientific Reports,2026,,,Yes,,,,,
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_030,"Kabbara, N., El Hajj, B., & Baba, I. (2026). Advancing sustainable tourism in Lebanon through hotel sustainability practices and stakeholder collaboration toward achieving sustainable development goals. Discover Sustainability. DOI: 10.1007/s43621-025-02454-5",10.1007/s43621-025-02454-5,Discover Sustainability,2026,Yes,"SCImago profile shows Discover Sustainability as Q1 in Geography, Planning and Development for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"Findings reveal that hotels are implementing various economic, social, and environmental practices but continue to face significant challenges related to resource constraints, policy gaps, and stakeholder coordination.",Abstract,GOV,Provides a comparator example of implementation barriers that remain relevant for the governance discussion in the Camino de Lengerke case.,Results and Discussion; Table 3; Table 4
CLUSTER_C_COMPETITIVENESS_VALUE_CREATION_032,"Abreu, C., Marques, C., & Goncalves Pereira, H. (2026). Business models for nature-based tourism companies: The adoption of sustainable requirements. Journal of Rural Studies. DOI: 10.1016/j.jrurstud.2026.104102",10.1016/j.jrurstud.2026.104102,Journal of Rural Studies,2026,Yes,"SCImago Development category listing shows Journal of Rural Studies as Q1 with SJR 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"Nature-based tourism is increasingly recognised as a strategic segment within the tourism sector, often dominated by small and family-owned enterprises.",Abstract,VALUE,"Supports the chapter's alignment with local value creation, small-business opportunities, and competitiveness in route-based tourism systems.",Results and Discussion; Table 3; Table 4
CLUSTER_C_COMPETITIVENESS_VALUE_CREATION_034,"Huang, J., Ling, W., Ye, S., Khan, R., & Lai, Q. (2026). How digital infrastructure supports emerging forms of urban digital tourism in China. PLOS ONE. DOI: 10.1371/journal.pone.0343903",10.1371/journal.pone.0343903,Plos One,2026,Yes,"SCImago profile shows PLoS ONE as Q1 in Multidisciplinary for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"digital infrastructure development can facilitate the development of emerging forms for urban digital tourism entrepreneurship.",Abstract,COMP,"Supports the argument that digital infrastructure can reshape tourism entrepreneurship, route visibility, and destination innovation.",Results and Discussion; Table 3; Table 4
CLUSTER_C_COMPETITIVENESS_VALUE_CREATION_035,"Altinay, L., Vatankhah, S., De Vita, G., & Arici, H. E. (2026). Could AI technologies be harnessed to break down barriers to inclusivity for women entrepreneurship in tourism? Tourism Management. DOI: 10.1016/j.tourman.2025.105285",10.1016/j.tourman.2025.105285,Tourism Management,2026,Yes,"SCImago profile shows Tourism Management as Q1 in Tourism, Leisure and Hospitality Management and Development for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"By integrating Rawls perspective the study offers a novel analytical lens for understanding how responsible AI can foster a more just and equitable entrepreneurial ecosystem for women in tourism, and for evaluating attendant strategies contributing to sustainable and inclusive growth.",Abstract,COMP,Background comparator on inclusive entrepreneurship in tourism; removed from the current draft after the relevance review because it was more peripheral to the route argument.,Background only
CLUSTER_C_COMPETITIVENESS_VALUE_CREATION_038,Creative tourism for the development of tourism entrepreneurship in Latin America. (2026). Multidisciplinary Reviews. DOI: 10.31893/multirev.2026018,10.31893/multirev.2026018,Multidisciplinary Reviews,2026,,,Yes,,,,,
CLUSTER_D_ROUTE_METHODOLOGY_041,"Mansourihanis, O., Soltani, A., & Roohani Qadikolaei, M. (2026). Promoting sustainable urban tourism in Historic Sari, Iran through GIS-based walkability planning. Scientific Reports. DOI: 10.1038/s41598-024-63807-0",10.1038/s41598-024-63807-0,Scientific Reports,2026,Yes,"SCImago profile shows Scientific Reports as Q1 in Multidisciplinary for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"By utilizing GIS route optimization and modeling exclusive pedestrian networks, this article seeks to improve walkability and promote tourism.",Abstract,METH,Shows how recent route studies operationalize sustainability through walkability and route optimization rather than isolated attractions.,Results and Discussion; Table 3; Table 4
CLUSTER_D_ROUTE_METHODOLOGY_042,"Enhancing low-carbon tourism based on local resources and carbon footprint assessment of community tourism routes in Ban Rak Thai, Mae Hong Son. (2026). Multidisciplinary Science Journal. DOI: 10.31893/multiscience.2026238",10.31893/multiscience.2026238,Multidisciplinary Science Journal,2026,,,Yes,,,,,
CLUSTER_D_ROUTE_METHODOLOGY_043,"Akay, S. S. (2026). Cultural-gastronomic GIS-based routes for planning efficient urban tourism. Geojournal of Tourism and Geosites, 64(1), 29-39. DOI: 10.30892/gtg.64103-1653",10.30892/gtg.64103-1653,Geojournal of Tourism and Geosites,2026,,,Yes,"GIS stands out as a strategic tool in tourism management, offering significant opportunities to ensure the sustainability of tourism in cities with high tourism potential like Gaziantep.",Abstract,METH,Supports the discussion of GIS-based route sequencing congestion management and spatial-operational competitiveness.,Results and Discussion; Table 4
CLUSTER_D_ROUTE_METHODOLOGY_044,From suitability to vulnerability: A GIS-based framework for assessing environmental sensitivity of mountain tourism landscapes in the Ukrainian Carpathians. (2026). Journal of the Bulgarian Geographical Society. DOI: 10.3897/jbgs.e177296,10.3897/jbgs.e177296,Journal of the Bulgarian Geographical Society,2026,,,Yes,,,,,
CLUSTER_D_ROUTE_METHODOLOGY_045,"TOURISM ROUTE DEVELOPMENT USING ASSOCIATION RULE MINING AND GOOGLE MAPS IN SONGKHLA, THAILAND. (2026). Geojournal of Tourism and Geosites. DOI: 10.30892/gtg.64140-1691",10.30892/gtg.64140-1691,Geojournal of Tourism and Geosites,2026,,,Yes,,,,,
CLUSTER_D_ROUTE_METHODOLOGY_047,Integrating GIS into Sustainable Tourism Strategies. (2025). Interdisciplinary Journal of Research and Development. DOI: 10.56345/ijrdv12n3s123,10.56345/ijrdv12n3s123,Interdisciplinary Journal of Research and Development,2025,,,Yes,,,,,
CLUSTER_D_ROUTE_METHODOLOGY_048,"Zou, H., Zhang, G., Sun, C., Landrum, L., Tang, Y., Hu, Y., Cheng, W., & Li, A. (2025). Thematic cultural heritage tourism trail planning integrating multi-source data and machine learning in Wuhan China. Heritage Science. DOI: 10.1038/s40494-025-02081-3",10.1038/s40494-025-02081-3,Npj Heritage Science,2025,Yes,"SCImago profile shows Heritage Science as Q1 in Archeology and Conservation for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2025 quartile.",Yes,"Cultural heritage tourism faces challenges in route planning, including weak data-mining capacity, limited multi-indicator evaluation, and inefficiencies in traditional pathfinding.",Abstract,METH,Supports the argument that route governance and planning require explicit methodological tools and helps specify the Lengerke operability gap.,Results and Discussion; Table 3
CLUSTER_E_HERITAGE_RURAL_GOVERNANCE_051,Building Destination Brand Equity Teba Majalangu as a Subak-based Agrotourism in the Urban Area of Bali Province. (2026). African Journal of Food Agriculture Nutrition and Development. DOI: 10.18697/ajfand.149.26390,10.18697/ajfand.149.26390,African Journal of Food Agriculture Nutrition and Development,2026,,,Yes,,,,,
CLUSTER_E_HERITAGE_RURAL_GOVERNANCE_052,Climate threat and adaptation strategies in Cappadocia: A comparative analysis for Nevsehir. (2026). Environmental Research and Technology. DOI: 10.35208/ert.1612226,10.35208/ert.1612226,Environmental Research and Technology,2026,,,Yes,,,,,
CLUSTER_E_HERITAGE_RURAL_GOVERNANCE_053,"Liu, Y., Subramaniam, T., Konar, R., Fuchs, K., Kunasekaran, P., & Ragavan, N. A. (2026). Community resident and sustainable cultural heritage tourism development: A systematic literature review using PRISMA. Tourism. DOI: 10.37741/t.74.1.6",10.37741/t.74.1.6,Tourism,2026,,,Yes,Residents are key stakeholders in sustainable tourism development and play an essential role in tourism growth.,Abstract,GOV,"Useful source for community support, resident participation, and sustainable cultural heritage tourism governance.",Results and Discussion; Table 3; Table 4
CLUSTER_E_HERITAGE_RURAL_GOVERNANCE_054,Gentrificacion y gentrificabilidad: propuesta para su medicion en el caso del Centro Historico de Bogota. (2026). Investigaciones Geograficas. DOI: 10.14198/INGEO.29617,10.14198/INGEO.29617,Investigaciones Geograficas,2026,,,Yes,,,,,
REQUIRED_INCLUDE_056,"Duarte-Duarte, J. B., Talero-Sarmiento, L. H., & Rodriguez-Padilla, D. C. (2021). Methodological proposal for the identification of tourist routes in a particular region through clustering techniques. Heliyon. DOI: 10.1016/j.heliyon.2021.e06655",10.1016/j.heliyon.2021.e06655,Heliyon,2021,Yes,SCImago profile shows Heliyon as Q1 in Multidisciplinary for 2021; verified 2026-04-06.,Yes,We propose a methodology to identify tourist routes that integrate the most important Points Of Interest in a region taking up as criteria profile characteristics in common between the sites evaluated using clustering techniques.,Abstract,METH,Directly relevant methodological source from Colombia and the main bridge between the benchmark literature and the Lengerke case.,Introduction; Methodology; Results and Discussion; Table 4
